"filename", "language", "TypeScript", "TypeScript React", "SCSS", "CSS", "GraphQL", "JSON", "comment", "blank", "total"
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Community/Discussions.tsx", "TypeScript React", 0, 37, 0, 0, 0, 0, 0, 6, 43
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Community/Members.tsx", "TypeScript React", 0, 36, 0, 0, 0, 0, 0, 3, 39
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Community/Tags.tsx", "TypeScript React", 0, 28, 0, 0, 0, 0, 0, 5, 33
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Community/Updates.tsx", "TypeScript React", 0, 37, 0, 0, 0, 0, 0, 6, 43
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Community/UserPopUp.tsx", "TypeScript React", 0, 242, 0, 0, 0, 0, 1, 14, 257
"/home/nsmyth/Dev/Alkemio/client-web/src/components/ContextEdit/index.tsx", "TypeScript React", 0, 109, 0, 0, 0, 0, 1, 11, 121
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/Cards.tsx", "TypeScript React", 0, 163, 0, 0, 0, 0, 0, 14, 177
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/ChallengeCard.tsx", "TypeScript React", 0, 125, 0, 0, 0, 0, 1, 8, 134
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/EcoverseCard.tsx", "TypeScript React", 0, 164, 0, 0, 0, 0, 4, 8, 176
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/EcoverseCommunitySection.tsx", "TypeScript React", 0, 31, 0, 0, 0, 0, 0, 5, 36
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Ecoverse/InterestModal.tsx", "TypeScript React", 0, 135, 0, 0, 0, 0, 0, 11, 146
"/home/nsmyth/Dev/Alkemio/client-web/src/components/EditableAvatar.tsx", "TypeScript React", 0, 63, 0, 0, 0, 0, 15, 6, 84
"/home/nsmyth/Dev/Alkemio/client-web/src/components/MembershipBackdrop.tsx", "TypeScript React", 0, 11, 0, 0, 0, 0, 0, 5, 16
"/home/nsmyth/Dev/Alkemio/client-web/src/components/NavRings/index.tsx", "TypeScript React", 0, 83, 0, 0, 0, 0, 0, 12, 95
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/ActorEdit.tsx", "TypeScript React", 0, 160, 0, 0, 0, 0, 0, 15, 175
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/ActorGroupCreateModal.tsx", "TypeScript React", 0, 101, 0, 0, 0, 0, 0, 9, 110
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/AspectEdit.tsx", "TypeScript React", 0, 165, 0, 0, 0, 0, 0, 16, 181
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/Cards.tsx", "TypeScript React", 0, 356, 0, 0, 0, 0, 0, 26, 382
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/OpportunityCommunitySection.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 5, 43
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Opportunity/OpportunityPopUp.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 6, 40
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Organizations/OrganizationPopUp.tsx", "TypeScript React", 0, 195, 0, 0, 0, 0, 0, 13, 208
"/home/nsmyth/Dev/Alkemio/client-web/src/components/PopUpProps.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"/home/nsmyth/Dev/Alkemio/client-web/src/components/ProfileForm/ProfileForm.tsx", "TypeScript React", 0, 129, 0, 0, 0, 0, 2, 12, 143
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Project/Cards.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 2, 20
"/home/nsmyth/Dev/Alkemio/client-web/src/components/User/User.tsx", "TypeScript React", 0, 84, 0, 0, 0, 0, 5, 9, 98
"/home/nsmyth/Dev/Alkemio/client-web/src/components/User/UserSegment.tsx", "TypeScript React", 0, 109, 0, 0, 0, 0, 0, 7, 116
"/home/nsmyth/Dev/Alkemio/client-web/src/components/UserProfile/ContactDetails.tsx", "TypeScript React", 0, 77, 0, 0, 0, 0, 0, 5, 82
"/home/nsmyth/Dev/Alkemio/client-web/src/components/UserProfile/MemberOf.tsx", "TypeScript React", 0, 56, 0, 0, 0, 0, 0, 6, 62
"/home/nsmyth/Dev/Alkemio/client-web/src/components/UserProfile/PendingApplications.tsx", "TypeScript React", 0, 84, 0, 0, 0, 0, 0, 8, 92
"/home/nsmyth/Dev/Alkemio/client-web/src/components/UserProfile/UserForm.tsx", "TypeScript React", 0, 283, 0, 0, 0, 0, 7, 21, 311
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/ApplicationButton/ApplicationButton.spec.tsx", "TypeScript React", 0, 157, 0, 0, 0, 0, 24, 31, 212
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/ApplicationButton/ApplicationButton.tsx", "TypeScript React", 0, 93, 0, 0, 0, 0, 0, 10, 103
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/OrganizationVerifiedState/OrganizationVerifiedState.tsx", "TypeScript React", 0, 42, 0, 0, 0, 0, 0, 7, 49
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/SettingsButton/SettingsButton.tsx", "TypeScript React", 0, 30, 0, 0, 0, 0, 0, 5, 35
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/common/VerifiedStatus/VerifiedStatus.tsx", "TypeScript React", 0, 39, 0, 0, 0, 0, 0, 6, 45
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/forms/CountrySelect.tsx", "TypeScript React", 0, 52, 0, 0, 0, 0, 0, 4, 56
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/App/App.tsx", "TypeScript React", 0, 146, 0, 0, 0, 0, 0, 11, 157
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/App/Footer.tsx", "TypeScript React", 0, 105, 0, 0, 0, 0, 0, 5, 110
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/App/Header.tsx", "TypeScript React", 0, 100, 0, 0, 0, 0, 1, 10, 111
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/App/Main.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 5, 24
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/AuthenticationLayout.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 0, 4, 36
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/Sidebar/Sidebar.tsx", "TypeScript React", 0, 171, 0, 0, 0, 0, 2, 6, 179
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/Sidebar/SidebarItem.tsx", "TypeScript React", 0, 71, 0, 0, 0, 0, 0, 4, 75
"/home/nsmyth/Dev/Alkemio/client-web/src/components/composite/layout/Sidebar/SidebarItemEcoverse.tsx", "TypeScript React", 0, 70, 0, 0, 0, 0, 0, 5, 75
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Avatar.tsx", "TypeScript React", 0, 147, 0, 0, 0, 0, 1, 10, 158
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/AvatarContainer.tsx", "TypeScript React", 0, 66, 0, 0, 0, 0, 0, 9, 75
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Backdrop.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 5, 23
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Breadcrumbs.tsx", "TypeScript React", 0, 51, 0, 0, 0, 0, 0, 6, 57
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Button.tsx", "TypeScript React", 0, 141, 0, 0, 0, 0, 3, 20, 164
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Card.tsx", "TypeScript React", 0, 340, 0, 0, 0, 0, 1, 41, 382
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/CardContainer.tsx", "TypeScript React", 0, 92, 0, 0, 0, 0, 0, 7, 99
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/CircleTag.tsx", "TypeScript React", 0, 53, 0, 0, 0, 0, 0, 6, 59
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/ConditionalLink.tsx", "TypeScript React", 0, 16, 0, 0, 0, 0, 0, 3, 19
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Delimiter.tsx", "TypeScript React", 0, 31, 0, 0, 0, 0, 0, 5, 36
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Divider.tsx", "TypeScript React", 0, 61, 0, 0, 0, 0, 0, 4, 65
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/ErrorBlock.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 2, 22
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Hidden.tsx", "TypeScript React", 0, 53, 0, 0, 0, 0, 1, 9, 63
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Icon.tsx", "TypeScript React", 0, 39, 0, 0, 0, 0, 2, 7, 48
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/IconButton.tsx", "TypeScript React", 0, 85, 0, 0, 0, 0, 3, 14, 102
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Image.tsx", "TypeScript React", 0, 56, 0, 0, 0, 0, 0, 7, 63
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Lifecycle.tsx", "TypeScript React", 0, 209, 0, 0, 0, 0, 6, 24, 239
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/LifecycleButton.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 0, 3, 12
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Loading/Loading.spec.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 9, 10, 39
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Loading/Loading.styles.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 2, 18
"/home/nsmyth/Dev/Alkemio/client-web/src/components/core/Loading/Loading.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 4, 23
